WP;X;Y;Fecha;Etapas;Fondo;Transecta;Tdom
I001;606996.1098;5396694.198;42400;Etapa 1;Arena;1;0.0
I002;606977.7428;5396682.952;42400;Etapa 1;Arena;1;2.7
I003;606959.9124;5396671.978;42400;Etapa 1;Arena;1;5.3
I004;606886.5072;5396800.706;42400;Etapa 1;Arena;2;0.0
I005;606867.9736;5396788.083;42400;Etapa 1;Arena;2;1.3
I006;606850.0859;5396775.588;42400;Etapa 1;Arena;2;2.7
I007;606797.6529;5396900.735;42400;Etapa 1;Arena;3;0.0
I008;606779.9124;5396886.911;42400;Etapa 1;Arena;3;2.7
I009;606762.3078;5396873.242;42400;Etapa 1;Arena;3;1.3
I010;606740.6221;5397025.005;42400;Etapa 1;Arena;4;0.0
I011;606721.758;5397011.137;42400;Etapa 1;Arena;4;0.0
I012;606699.0814;5396996.696;42400;Etapa 1;Arena;4;0.0
I013;606610.8557;5397113.262;42400;Etapa 1;Arena;5;1.3
I014;606589.0428;5397097.36;42400;Etapa 1;Arena;5;0.0
I015;606573.3135;5397079.489;42400;Etapa 1;Arena;5;5.3
I016;606523.5389;5397232.549;42400;Etapa 1;Arena;6;2.7
I017;606502.4599;5397217.896;42400;Etapa 1;Arena;6;5.3
I018;606485.5026;5397206.895;42400;Etapa 1;Arena;6;2.7
I019;606389.2613;5397323.213;42400;Etapa 1;Arena;7;0.0
F001;606369.8768;5397308.45;42401;Etapa 1;Arena;7;0.0
F002;606352.6413;5397296.677;42401;Etapa 1;Arena;7;6.7
F003;606304.661;5397438.004;42401;Etapa 1;Arena;8;4.0
F004;606286.5827;5397423.209;42401;Etapa 1;Arena;8;2.7
F005;606266.9005;5397406.786;42401;Etapa 1;Arena;8;1.3
F006;606169.6971;5397514.62;42401;Etapa 1;Arena;9;0.0
F007;606154.3889;5397500.337;42401;Etapa 1;Arena;9;10.7
F008;606140.0439;5397489.467;42401;Etapa 1;Arena;9;9.3
F009;606073.3009;5397629.198;42401;Etapa 1;Arena;10;0.0
F010;606055.7067;5397613.483;42401;Etapa 1;Arena;10;9.3
F011;606038.9298;5397597.987;42401;Etapa 1;Arena;10;2.7
F012;605905.5852;5397736.83;42401;Etapa 1;Arena;11;0.0
F013;605889.7395;5397721.886;42401;Etapa 1;Arena;11;5.3
F014;605876.7577;5397709.188;42401;Etapa 1;Arena;11;2.7
F015;605835.8876;5397812.257;42401;Etapa 1;Arena;12;0.0
F016;605821.6944;5397797.227;42401;Etapa 1;Arena;12;4.0
F017;605808.4146;5397783.976;42401;Etapa 1;Arena;12;0.0
I020;605710.2541;5397866.862;42401;Etapa 1;Arena;13;1.3
I021;605696.9391;5397851.967;42401;Etapa 1;Arena;13;6.7
I022;605685.7985;5397836.937;42401;Etapa 1;Arena;13;1.3
I023;605581.4353;5397971.682;42401;Etapa 1;Arena;14;0.0
I024;605568.489;5397952.884;42401;Etapa 1;Arena;14;1.3
I025;605557.6973;5397938.14;42401;Etapa 1;Arena;14;6.7
I026;605461.3893;5398027.829;42401;Etapa 1;Arena;15;0.0
I027;605448.1049;5398012.446;42401;Etapa 1;Arena;15;5.3
I028;605435.8154;5397996.664;42401;Etapa 1;Arena;15;0.0
I029;605331.9074;5398137.799;42401;Etapa 1;Arena;16;1.3
I030;605318.5604;5398118.444;42401;Etapa 1;Arena;16;4.0
I031;605305.6893;5398101.403;42401;Etapa 1;Arena;16;2.7
I032;605286.4574;5398212.31;42401;Etapa 1;Arena;17;1.3
I033;605275.0625;5398194.799;42401;Etapa 1;Arena;17;1.3
I034;605260.0911;5398175.286;42401;Etapa 1;Arena;17;0.0
I035;605066.737;5398278.705;42401;Etapa 1;Arena;18;0.0
I036;605055.1041;5398261.804;42401;Etapa 1;Arena;18;1.3
I037;605044.4263;5398245.831;42401;Etapa 1;Arena;18;9.3
I038;604932.8317;5398322.424;42401;Etapa 1;Arena;19;1.3
I039;604923.0444;5398304.282;42401;Etapa 1;Arena;19;1.3
I040;604914.0505;5398288.615;42401;Etapa 1;Arena;19;2.7
I041;604792.938;5398400.516;42401;Etapa 1;Arena;20;0.0
I042;604781.0098;5398383.32;42401;Etapa 1;Arena;20;4.0
F201;604769.6191;5398366.196;42402;Etapa 1;Arena;20;13.3
F202;604656.6637;5398449.829;42402;Etapa 1;Arena;21;0.0
F203;604645.2289;5398433.311;42402;Etapa 1;Arena;21;0.0
F204;604632.0193;5398417.084;42402;Etapa 1;Arena;21;0.0
F205;604511.6301;5398505.546;42402;Etapa 1;Arena;22;0.0
F206;604500.1743;5398489.067;42402;Etapa 1;Arena;22;5.3
F207;604489.5781;5398471.027;42402;Etapa 1;Arena;22;6.7
F208;604342.7085;5398528.416;42402;Etapa 1;Arena;23;0.0
F209;604336.4035;5398509.254;42402;Etapa 1;Arena;23;1.3
F210;604330.1304;5398493.868;42402;Etapa 1;Arena;23;1.3
F211;604218.8789;5398569.643;42402;Etapa 1;Arena;24;0.0
F212;604214.9321;5398552.187;42402;Etapa 1;Arena;24;5.3
F213;604210.5744;5398534.785;42402;Etapa 1;Arena;24;0.0
F214;604058.6821;5398594.219;42402;Etapa 1;Arena;25;0.0
F215;604053.349;5398573.539;42402;Etapa 1;Arena;25;1.3
F216;604045.4788;5398551.504;42402;Etapa 1;Arena;25;2.7
F217;603921.4596;5398616.916;42402;Etapa 1;Arena;26;0.0
F218;603917.91;5398600.967;42402;Etapa 1;Arena;26;4.0
F219;603913.5855;5398585.317;42402;Etapa 1;Arena;26;1.3
F220;603748.548;5398617.201;42402;Etapa 1;Arena;27;0.0
F221;603748.7787;5398601.886;42402;Etapa 1;Arena;27;1.3
F222;603749.1007;5398586.84;42402;Etapa 1;Arena;27;0.0
I201;603621.0381;5398629.685;42402;Etapa 1;Arena;28;0.0
I202;603621.552;5398613.108;42402;Etapa 1;Arena;28;4.0
I203;603622.1589;5398598.706;42402;Etapa 1;Arena;28;0.0
I204;603459.2159;5398636.787;42402;Etapa 1;Arena;29;0.0
I205;603459.4907;5398618.706;42402;Etapa 1;Arena;29;0.0
I206;603459.9381;5398599.728;42402;Etapa 1;Arena;29;0.0
I207;603321.3125;5398621.221;42402;Etapa 1;Arena;30;0.0
I208;603321.3569;5398601.546;42402;Etapa 1;Arena;30;0.0
